Employee_ID,First_Name,Last_Name,Department,Title,Base_Salary,Bonus_2024,Stock_Options,SSN,Start_Date,Manager,Security_Clearance,Performance_Rating
EMP001,Alice,Johnson,Customer Service,Senior Rep,65000,8500,0,123-45-6789,2019-03-15,MGR101,Standard,Exceeds
EMP002,Bob,Smith,Loan Processing,Loan Officer,85000,12750,5000,234-56-7890,2018-07-22,MGR102,Standard,Meets
EMP003,Carol,Davis,Investment Advisory,Sr Advisor,125000,25000,15000,345-67-8901,2017-01-10,MGR103,Enhanced,Outstanding
EMP004,Eve,Suspicious,Temp Services,Data Entry,45000,0,0,456-78-9012,2024-06-01,MGR101,None,Below
EMP005,Frank,Insider,Finance,Analyst,95000,15000,8000,567-89-0123,2020-11-08,CFO001,Standard,Meets
ADM001,David,Admin,IT Security,Security Admin,135000,20000,12000,678-90-1234,2016-05-12,CTO001,Top_Secret,Outstanding
MGR101,Susan,Manager,Customer Service,Department Manager,105000,18000,10000,789-01-2345,2015-09-20,VP001,Enhanced,Exceeds
MGR102,Tom,Leader,Loan Processing,Department Head,115000,22000,12000,890-12-3456,2016-02-14,VP002,Enhanced,Outstanding
MGR103,Nancy,Director,Investment Advisory,Senior Director,165000,35000,25000,901-23-4567,2014-08-30,PRES001,Enhanced,Outstanding
CFO001,Sarah,Goldman,Executive,Chief Financial Officer,450000,125000,100000,012-34-5678,2020-01-15,CEO001,Top_Secret,Outstanding
CTO001,Michael,Tech,IT,Chief Technology Officer,385000,95000,75000,111-22-3333,2019-06-01,CEO001,Top_Secret,Exceeds
CISO001,Robert,Security,IT Security,Chief Information Security Officer,365000,85000,65000,222-33-4444,2021-03-01,CEO001,Top_Secret,Outstanding
CEO001,Richard,Billionaire,Executive,Chief Executive Officer,1250000,2500000,500000,333-44-5555,2018-01-01,BOARD,Top_Secret,Outstanding
PRES001,Victoria,Executive,Executive,President & COO,875000,1500000,350000,444-55-6666,2019-04-01,CEO001,Top_Secret,Outstanding
VP001,James,Customer,Customer Service,VP Customer Operations,185000,45000,30000,555-66-7777,2017-12-01,PRES001,Enhanced,Exceeds
VP002,Lisa,Finance,Finance,VP Finance Operations,195000,48000,32000,666-77-8888,2018-03-15,CFO001,Enhanced,Outstanding
EMP006,John,Teller,Branch Operations,Bank Teller,42000,2500,0,777-88-9999,2023-01-15,MGR104,Standard,Meets
EMP007,Mary,Customer,Customer Service,Customer Rep,58000,6500,0,888-99-0000,2022-05-20,MGR101,Standard,Exceeds
EMP008,Paul,Analyst,Risk Management,Risk Analyst,98000,16000,9000,999-00-1111,2021-09-12,CRO001,Enhanced,Meets
EMP009,Linda,Compliance,Compliance,Compliance Officer,115000,18000,12000,000-11-2222,2020-02-28,CCO001,Enhanced,Outstanding
EMP010,Steve,Developer,IT,Software Developer,125000,22000,15000,111-00-3333,2019-11-05,CTO001,Standard,Exceeds
EMP011,Jennifer,HR,Human Resources,HR Manager,95000,14000,8000,222-11-4444,2018-08-18,CHRO001,Enhanced,Meets
EMP012,Kevin,Security,IT Security,Security Analyst,105000,16000,10000,333-22-5555,2020-07-10,CISO001,Top_Secret,Exceeds
EMP013,Rachel,Marketing,Marketing,Marketing Manager,88000,13000,7000,444-33-6666,2021-01-25,CMO001,Standard,Meets
EMP014,Daniel,Operations,Operations,Operations Manager,112000,19000,11000,555-44-7777,2019-10-30,COO001,Enhanced,Outstanding
EMP015,Michelle,Legal,Legal,Staff Attorney,165000,28000,18000,666-55-8888,2020-12-05,CLO001,Enhanced,Exceeds
TEMP001,Alex,Contractor,IT,External Consultant,150000,0,0,777-66-9999,2024-07-01,CTO001,None,N/A
TEMP002,Sam,Vendor,Maintenance,Facilities,35000,0,0,888-77-0000,2024-05-15,MGR105,None,N/A
INTERN01,Jessica,Student,Finance,Summer Intern,25000,0,0,999-88-1111,2024-06-01,MGR102,None,Exceeds
CCO001,Elizabeth,Compliance,Executive,Chief Compliance Officer,345000,75000,55000,000-99-2222,2021-08-01,CEO001,Top_Secret,Outstanding
CRO001,Michael,Sterling,Risk Management,Chief Risk Officer,375000,85000,65000,111-88-3333,2020-04-15,CEO001,Top_Secret,Outstanding
